state,total.2000,total.2010,total.2011,total.2012,frl.2000,frl.2010,frl.2011,frl.2012,pc.frl.2000,pc.frl.2010,pc.frl.2011,pc.frl.2012
Alabama ....................,728351.0,730427.0,731556.0,740475.0,335143.0,402386.0,420447.0,429604.0,46.01394108060537,55.089146485548866,57.47297541131506,58.01735372564908
Alaska ..................,105333.0,132104.0,131166.0,131483.0,32468.0,50701.0,53238.0,53082.0,30.82414817768411,38.37961000423908,40.58826220209505,40.37175908672604
Arizona .....................,877696.0,1067210.0,1024454.0,990378.0,274277.0,482044.0,511885.0,514193.0,31.24965819600408,45.16861723559562,49.96661636344824,51.91886330269857
Arkansas ..................,449959.0,482114.0,483114.0,486157.0,205058.0,291608.0,294324.0,298573.0,45.5725966143582,60.48527941524205,60.922266794172806,61.41493385881516
California .................,6050753.0,6169427.0,6202862.0,6178788.0,2820611.0,3335885.0,3353963.715409875,3478407.0,46.61586747963435,54.07122898123278,54.07122898123278,56.29594347629341
Colorado ....................,724349.0,842864.0,853610.0,863121.0,195148.0,336426.0,348896.0,358876.0,26.941156818053173,39.91462442339452,40.872998207612376,41.57887480434377
Connecticut ...............,562179.0,552919.0,543883.0,549295.0,143030.0,190554.0,194339.0,201085.0,25.442074499403216,34.46327581435979,35.73176583934413,36.60783367771416
Delaware ..................,114676.0,128342.0,128470.0,127791.0,37766.0,61564.0,62774.0,66413.0,32.93278454079319,47.96870860669149,48.86276951817545,51.97001353772958
District of Columbia ........,68380.0,71263.0,72329.0,75411.0,47839.0,52027.0,45199.0,46416.0,69.9605147704007,73.00703029622665,62.49084046509699,61.550702152205915
Florida ..................,2434755.0,2641555.0,2668037.0,2691881.0,1079009.0,1479519.0,1535670.0,1576379.0,44.31694359391397,56.009395980776475,57.5580473584137,58.560501002830364
Georgia ............................,1444937.0,1676419.0,1682447.0,1702766.0,624511.0,961954.0,986865.0,1017193.0,43.22063868528524,57.3814780195166,58.65652825913684,59.73768562444869
Hawaii .....................,184357.0,179601.0,182705.0,184760.0,80657.0,84106.0,90021.0,93457.0,43.75044072099242,46.8293606383038,49.2712295777346,50.58291838060186
Idaho ........................,244755.0,275815.0,276969.0,279277.0,85824.0,124104.0,135642.0,134560.0,35.065269350983634,44.995377336257995,48.97371185944998,48.18155451397716
Illinois .................,2048792.0,1973401.0,2068926.0,2031835.0,759973.0,921471.0,1014713.0,1027336.0,37.09371180676223,46.69456435868838,49.045398433776754,50.56197968831131
Indiana ....................,977219.0,1038817.0,1037779.0,1039797.0,285267.0,485728.0,497663.0,509604.0,29.191716493436985,46.75780238482813,47.95462232324994,49.00995098081645
Iowa ........................,492021.0,484856.0,485358.0,490630.0,131553.0,188486.0,194146.0,200417.0,26.737273409061807,38.874634943158384,40.00057689375677,40.848908546154945
Kansas .....................,462594.0,479953.0,481519.0,470283.0,154693.0,228852.0,235362.0,233322.0,33.440338612260426,47.68216887903608,48.87906811569221,49.61310530042549
Kentucky .................,626723.0,673128.0,677628.0,675167.0,298334.0,380773.0,368355.0,373837.0,47.60221022684663,56.56769589142036,54.35947156847119,55.369560419866495
Louisiana ...................,741162.0,695772.0,702301.0,693980.0,433068.0,460546.0,471347.0,459617.0,58.43095031855384,66.19208591320145,67.11467020551018,66.22914205020317
Maine .....................,198532.0,183477.0,178989.0,179323.0,60162.0,78915.0,76984.67347405943,80636.0,30.30342715532005,43.010840595824,43.010840595824,44.96690329740189
Maryland ....................,852911.0,852202.0,854060.0,856775.0,255872.0,341557.0,356631.0,366695.0,29.99984758081441,40.07934738477497,41.75713650094841,42.79945143123924
Massachusetts ..............,979590.0,955301.0,952044.0,952970.0,237871.0,326849.0,334511.0,352988.0,24.282710113414797,34.21424242202196,35.1360861472789,37.04083024649255
Michigan .....................,1703260.0,1551861.0,1532809.0,1511030.0,504044.0,719800.0,735010.0,724340.0,29.5928983243897,46.38302012873576,47.95183222436716,47.93683778614587
Minnesota ...................,854154.0,837930.0,839645.0,845291.0,218867.0,306136.0,311645.0,323459.0,25.62383364124034,36.53479407587746,37.116281285543295,38.26599360456932
Mississippi .............,497421.0,489462.0,487870.0,491220.0,319670.0,345734.0,348664.0,352084.0,64.26548135281783,70.63551409506765,71.46657921167524,71.67542038190628
Missouri ..................,912247.0,902375.0,885138.0,898402.0,315608.0,406358.0,411750.0,408726.0,34.596770392229296,45.03205430114974,46.518170048060306,45.494778506726384
Montana .....................,154438.0,140497.0,142349.0,142908.0,47415.0,57836.0,57349.0,60262.0,30.70164078788899,41.16529178558973,40.28760300388482,42.16838805385283
Nebraska ....................,286138.0,298276.0,301296.0,303332.0,87045.0,127114.0,132010.0,133912.0,30.42063619652056,42.61623462833081,43.81405660878339,44.14700723959226
Nevada ....................,282621.0,436840.0,438745.0,443158.0,92978.0,219904.0,237212.0,228660.0,32.898475343304284,50.339712480542076,54.066029242498495,51.59784997675773
